TeamName,Season,GP,WINS,LOSSES,WinPCT,FG3A_per_game,FG3M_per_game,FG3_PCT,FG3A_total,FG3M_total
Utah Jazz,2010,82,53,29,0.646,1207,439,0.364,98974,35998
Utah Jazz,2011,82,39,43,0.476,1256,435,0.346,102992,35670
Utah Jazz,2012,66,36,30,0.545,845,273,0.323,55770,18018
Utah Jazz,2013,82,43,39,0.524,1385,507,0.366,113570,41574
Utah Jazz,2014,82,25,57,0.305,1577,543,0.344,129314,44526
Utah Jazz,2015,82,38,44,0.463,1781,610,0.343,146042,50020
Utah Jazz,2016,82,40,42,0.488,1956,694,0.355,160392,56908
Utah Jazz,2017,82,51,31,0.622,2128,791,0.372,174496,64862
Utah Jazz,2018,82,48,34,0.585,2425,887,0.366,198850,72734
Utah Jazz,2019,82,50,32,0.61,2789,993,0.356,228698,81426
Utah Jazz,2020,72,44,28,0.611,2537,963,0.38,182664,69336
Utah Jazz,2021,72,52,20,0.722,3098,1205,0.389,223056,86760
Utah Jazz,2022,82,49,33,0.598,3308,1192,0.36,271256,97744
Utah Jazz,2023,82,37,45,0.451,3099,1094,0.353,254118,89708
Utah Jazz,2024,82,31,51,0.378,2993,1060,0.354,245426,86920
Memphis Grizzlies,2000,82,22,60,0.268,898,324,0.361,73636,26568
Memphis Grizzlies,2001,82,23,59,0.28,947,325,0.343,77654,26650
Memphis Grizzlies,2002,82,23,59,0.28,1096,336,0.307,89872,27552
Memphis Grizzlies,2003,82,28,54,0.341,1279,467,0.365,104878,38294
Memphis Grizzlies,2004,82,50,32,0.61,1314,447,0.34,107748,36654
Memphis Grizzlies,2005,82,45,37,0.549,1486,531,0.357,121852,43542
Memphis Grizzlies,2006,82,49,33,0.598,1578,590,0.374,129396,48380
Memphis Grizzlies,2007,82,22,60,0.268,1362,500,0.367,111684,41000
Memphis Grizzlies,2008,82,22,60,0.268,1779,620,0.349,145878,50840
Memphis Grizzlies,2009,82,24,58,0.293,1106,398,0.36,90692,32636
Memphis Grizzlies,2010,82,40,42,0.488,1020,344,0.337,83640,28208
Memphis Grizzlies,2011,82,46,36,0.561,926,309,0.334,75932,25338
Memphis Grizzlies,2012,66,41,25,0.621,849,277,0.326,56034,18282
Memphis Grizzlies,2013,82,56,26,0.683,1107,382,0.345,90774,31324
Memphis Grizzlies,2014,82,50,32,0.61,1147,405,0.353,94054,33210
Memphis Grizzlies,2015,82,55,27,0.671,1246,423,0.339,102172,34686
Memphis Grizzlies,2016,82,42,40,0.512,1521,504,0.331,124722,41328
Memphis Grizzlies,2017,82,43,39,0.524,2169,767,0.354,177858,62894
Memphis Grizzlies,2018,82,22,60,0.268,2152,758,0.352,176464,62156
Memphis Grizzlies,2019,82,33,49,0.402,2368,811,0.342,194176,66502
Memphis Grizzlies,2020,73,34,39,0.466,2297,798,0.347,167681,58254
Memphis Grizzlies,2021,72,38,34,0.528,2258,803,0.356,162576,57816
Memphis Grizzlies,2022,82,56,26,0.683,2679,945,0.353,219678,77490
Memphis Grizzlies,2023,82,51,31,0.622,2807,985,0.351,230174,80770
Memphis Grizzlies,2024,82,27,55,0.329,3097,1071,0.346,253954,87822
Washington Wizards,2000,82,29,53,0.354,890,335,0.376,72980,27470
Washington Wizards,2001,82,19,63,0.232,848,275,0.324,69536,22550
Washington Wizards,2002,82,37,45,0.451,786,305,0.388,64452,25010
Washington Wizards,2003,82,37,45,0.451,811,253,0.312,66502,20746
Washington Wizards,2004,82,25,57,0.305,1269,433,0.341,104058,35506
Washington Wizards,2005,82,45,37,0.549,1498,514,0.343,122836,42148
Washington Wizards,2006,82,42,40,0.512,1394,497,0.357,114308,40754
Washington Wizards,2007,82,41,41,0.5,1614,561,0.348,132348,46002
Washington Wizards,2008,82,43,39,0.524,1614,575,0.356,132348,47150
Washington Wizards,2009,82,19,63,0.232,1198,395,0.33,98236,32390
Washington Wizards,2010,82,26,56,0.317,1225,432,0.353,100450,35424
Washington Wizards,2011,82,23,59,0.28,1182,392,0.332,96924,32144
Washington Wizards,2012,66,20,46,0.303,1075,344,0.32,70950,22704
Washington Wizards,2013,82,29,53,0.354,1495,545,0.365,122590,44690
Washington Wizards,2014,82,44,38,0.537,1704,647,0.38,139728,53054
Washington Wizards,2015,82,46,36,0.561,1381,497,0.36,113242,40754
Washington Wizards,2016,82,41,41,0.5,1983,709,0.358,162606,58138
Washington Wizards,2017,82,49,33,0.598,2030,756,0.372,166460,61992
Washington Wizards,2018,82,43,39,0.524,2173,814,0.375,178186,66748
Washington Wizards,2019,82,32,50,0.39,2731,930,0.341,223942,76260
Washington Wizards,2020,72,25,47,0.347,2345,864,0.368,168840,62208
Washington Wizards,2021,72,34,38,0.472,2088,733,0.351,150336,52776
Washington Wizards,2022,82,35,47,0.427,2512,860,0.342,205984,70520
Washington Wizards,2023,82,35,47,0.427,2601,925,0.356,213282,75850
Washington Wizards,2024,82,15,67,0.183,2915,1015,0.348,239030,83230
Detroit Pistons,2000,82,42,40,0.512,1223,439,0.359,100286,35998
Detroit Pistons,2001,82,32,50,0.39,1112,389,0.35,91184,31898
