TeamName,Season,GP,WINS,LOSSES,WinPCT,FG3A_per_game,FG3M_per_game,FG3_PCT,FG3A_total,FG3M_total
Chicago Bulls,2007,82,49,33,0.598,1237,480,0.388,101434,39360
Chicago Bulls,2008,82,33,49,0.402,1305,474,0.363,107010,38868
Chicago Bulls,2009,82,41,41,0.5,1293,493,0.381,106026,40426
Chicago Bulls,2010,82,41,41,0.5,1066,352,0.33,87412,28864
Chicago Bulls,2011,82,62,20,0.756,1415,511,0.361,116030,41902
Chicago Bulls,2012,66,50,16,0.758,1117,419,0.375,73722,27654
Chicago Bulls,2013,82,45,37,0.549,1265,446,0.353,103730,36572
Chicago Bulls,2014,82,48,34,0.585,1459,508,0.348,119638,41656
Chicago Bulls,2015,82,50,32,0.61,1825,645,0.353,149650,52890
Chicago Bulls,2016,82,42,40,0.512,1753,651,0.371,143746,53382
Chicago Bulls,2017,82,41,41,0.5,1831,623,0.34,150142,51086
Chicago Bulls,2018,82,27,55,0.329,2549,906,0.355,209018,74292
Chicago Bulls,2019,82,22,60,0.268,2123,745,0.351,174086,61090
Chicago Bulls,2020,65,22,43,0.338,2282,793,0.348,148330,51545
Chicago Bulls,2021,72,31,41,0.431,2446,904,0.37,176112,65088
Chicago Bulls,2022,82,46,36,0.561,2364,872,0.369,193848,71504
Chicago Bulls,2023,82,40,42,0.488,2367,854,0.361,194094,70028
Chicago Bulls,2024,82,39,43,0.476,2630,941,0.358,215660,77162
Dallas Mavericks,2000,82,40,42,0.488,1326,519,0.391,108732,42558
Dallas Mavericks,2001,82,53,29,0.646,1357,517,0.381,111274,42394
Dallas Mavericks,2002,82,57,25,0.695,1645,621,0.378,134890,50922
Dallas Mavericks,2003,82,60,22,0.732,1668,636,0.381,136776,52152
Dallas Mavericks,2004,82,52,30,0.634,1456,507,0.348,119392,41574
Dallas Mavericks,2005,82,58,24,0.707,1273,463,0.364,104386,37966
Dallas Mavericks,2006,82,60,22,0.732,1113,416,0.374,91266,34112
Dallas Mavericks,2007,82,67,15,0.817,1404,535,0.381,115128,43870
Dallas Mavericks,2008,82,51,31,0.622,1403,494,0.352,115046,40508
Dallas Mavericks,2009,82,50,32,0.61,1632,571,0.35,133824,46822
Dallas Mavericks,2010,82,55,27,0.671,1498,558,0.372,122836,45756
Dallas Mavericks,2011,82,57,25,0.695,1768,645,0.365,144976,52890
Dallas Mavericks,2012,66,36,30,0.545,1464,497,0.339,96624,32802
Dallas Mavericks,2013,82,41,41,0.5,1628,606,0.372,133496,49692
Dallas Mavericks,2014,82,49,33,0.598,1877,721,0.384,153914,59122
Dallas Mavericks,2015,82,50,32,0.61,2082,732,0.352,170724,60024
Dallas Mavericks,2016,82,42,40,0.512,2342,806,0.344,192044,66092
Dallas Mavericks,2017,82,33,49,0.402,2473,878,0.355,202786,71996
Dallas Mavericks,2018,82,24,58,0.293,2688,967,0.36,220416,79294
Dallas Mavericks,2019,82,33,49,0.402,3002,1022,0.34,246164,83804
Dallas Mavericks,2020,75,43,32,0.573,3095,1136,0.367,232125,85200
Dallas Mavericks,2021,72,42,30,0.583,2744,994,0.362,197568,71568
Dallas Mavericks,2022,82,52,30,0.634,3063,1073,0.35,251166,87986
Dallas Mavericks,2023,82,38,44,0.463,3362,1246,0.371,275684,102172
Dallas Mavericks,2024,82,50,32,0.61,3242,1197,0.369,265844,98154
Denver Nuggets,2000,82,35,47,0.427,1397,470,0.336,114554,38540
Denver Nuggets,2001,82,40,42,0.488,1444,512,0.355,118408,41984
Denver Nuggets,2002,82,27,55,0.329,1285,423,0.329,105370,34686
Denver Nuggets,2003,82,17,65,0.207,824,229,0.278,67568,18778
Denver Nuggets,2004,82,43,39,0.524,985,331,0.336,80770,27142
Denver Nuggets,2005,82,49,33,0.598,940,320,0.34,77080,26240
Denver Nuggets,2006,82,44,38,0.537,1076,350,0.325,88232,28700
Denver Nuggets,2007,82,45,37,0.549,1440,484,0.336,118080,39688
Denver Nuggets,2008,82,50,32,0.61,1605,569,0.355,131610,46658
Denver Nuggets,2009,82,54,28,0.659,1477,548,0.371,121114,44936
Denver Nuggets,2010,82,53,29,0.646,1517,544,0.359,124394,44608
Denver Nuggets,2011,82,50,32,0.61,1704,662,0.388,139728,54284
Denver Nuggets,2012,66,38,28,0.576,1311,435,0.332,86526,28710
Denver Nuggets,2013,82,57,25,0.695,1518,521,0.343,124476,42722
Denver Nuggets,2014,82,36,46,0.439,1959,702,0.358,160638,57564
Denver Nuggets,2015,82,30,52,0.366,2032,660,0.325,166624,54120
Denver Nuggets,2016,82,33,49,0.402,1943,656,0.338,159326,53792
Denver Nuggets,2017,82,40,42,0.488,2365,870,0.368,193930,71340
Denver Nuggets,2018,82,46,36,0.561,2536,940,0.371,207952,77080
Denver Nuggets,2019,82,54,28,0.659,2571,903,0.351,210822,74046
Denver Nuggets,2020,73,46,27,0.63,2234,801,0.359,163082,58473
Denver Nuggets,2021,72,47,25,0.653,2462,927,0.377,177264,66744
Denver Nuggets,2022,82,48,34,0.585,2944,1039,0.353,241408,85198
Denver Nuggets,2023,82,53,29,0.646,2559,969,0.379,209838,79458
Denver Nuggets,2024,82,57,25,0.695,2560,958,0.374,209920,78556
Golden State Warriors,2000,82,19,63,0.232,1069,345,0.323,87658,28290
Golden State Warriors,2001,82,17,65,0.207,964,282,0.293,79048,23124
Golden State Warriors,2002,82,21,61,0.256,994,320,0.322,81508,26240
Golden State Warriors,2003,82,38,44,0.463,1235,425,0.344,101270,34850
Golden State Warriors,2004,82,37,45,0.451,1283,429,0.334,105206,35178
Golden State Warriors,2005,82,34,48,0.415,1774,624,0.352,145468,51168
Golden State Warriors,2006,82,34,48,0.415,1832,625,0.341,150224,51250
Golden State Warriors,2007,82,42,40,0.512,1967,700,0.356,161294,57400
Golden State Warriors,2008,82,48,34,0.585,2185,761,0.348,179170,62402
Golden State Warriors,2009,82,29,53,0.354,1475,550,0.373,120950,45100
Golden State Warriors,2010,82,26,56,0.317,1687,633,0.375,138334,51906
Golden State Warriors,2011,82,36,46,0.439,1749,685,0.392,143418,56170
Golden State Warriors,2012,66,23,43,0.348,1351,524,0.388,89166,34584
Golden State Warriors,2013,82,47,35,0.573,1632,658,0.403,133824,53956
Golden State Warriors,2014,82,51,31,0.622,2037,774,0.38,167034,63468
Golden State Warriors,2015,82,67,15,0.817,2217,883,0.398,181794,72406
Golden State Warriors,2016,82,73,9,0.89,2592,1077,0.416,212544,88314
Golden State Warriors,2017,82,67,15,0.817,2562,982,0.383,210084,80524
Golden State Warriors,2018,82,58,24,0.707,2369,926,0.391,194258,75932
Golden State Warriors,2019,82,57,25,0.695,2824,1087,0.385,231568,89134
Golden State Warriors,2020,65,15,50,0.231,2032,678,0.334,132080,44070
Golden State Warriors,2021,72,39,33,0.542,2789,1048,0.376,200808,75456
Golden State Warriors,2022,82,53,29,0.646,3231,1176,0.364,264942,96432
Golden State Warriors,2023,82,44,38,0.537,3540,1363,0.385,290280,111766
Golden State Warriors,2024,82,46,36,0.561,3191,1211,0.38,261662,99302
Houston Rockets,2000,82,34,48,0.415,1625,581,0.358,133250,47642
Houston Rockets,2001,82,45,37,0.549,1412,504,0.357,115784,41328
Houston Rockets,2002,82,28,54,0.341,1480,496,0.335,121360,40672
Houston Rockets,2003,82,43,39,0.524,1267,439,0.346,103894,35998
Houston Rockets,2004,82,45,37,0.549,1406,515,0.366,115292,42230
Houston Rockets,2005,82,51,31,0.622,1521,553,0.364,124722,45346
Houston Rockets,2006,82,34,48,0.415,1414,469,0.332,115948,38458
Houston Rockets,2007,82,52,30,0.634,1893,705,0.372,155226,57810
Houston Rockets,2008,82,55,27,0.671,1707,583,0.342,139974,47806
Houston Rockets,2009,82,53,29,0.646,1656,621,0.375,135792,50922
Houston Rockets,2010,82,42,40,0.512,1838,646,0.351,150716,52972
Houston Rockets,2011,82,43,39,0.524,1843,677,0.367,151126,55514
Houston Rockets,2012,66,34,32,0.515,1330,478,0.359,87780,31548
Houston Rockets,2013,82,45,37,0.549,2369,867,0.366,194258,71094
Houston Rockets,2014,82,54,28,0.659,2179,779,0.358,178678,63878
Houston Rockets,2015,82,56,26,0.683,2680,933,0.348,219760,76506
Houston Rockets,2016,82,41,41,0.5,2533,878,0.347,207706,71996
Houston Rockets,2017,82,55,27,0.671,3306,1181,0.357,271092,96842
Houston Rockets,2018,82,65,17,0.793,3470,1256,0.362,284540,102992
Houston Rockets,2019,82,53,29,0.646,3721,1323,0.356,305122,108486
Houston Rockets,2020,72,44,28,0.611,3261,1126,0.345,234792,81072
Houston Rockets,2021,72,17,55,0.236,2923,992,0.339,210456,71424
Houston Rockets,2022,82,20,62,0.244,3170,1105,0.349,259940,90610
Houston Rockets,2023,82,22,60,0.268,2619,856,0.327,214758,70192
Houston Rockets,2024,82,41,41,0.5,2964,1043,0.352,243048,85526
Los Angeles Clippers,2000,82,15,67,0.183,1267,429,0.339,103894,35178
Los Angeles Clippers,2001,82,31,51,0.378,1063,360,0.339,87166,29520
Los Angeles Clippers,2002,82,39,43,0.476,1147,408,0.356,94054,33456
Los Angeles Clippers,2003,82,27,55,0.329,1178,390,0.331,96596,31980
Los Angeles Clippers,2004,82,28,54,0.341,1024,329,0.321,83968,26978
Los Angeles Clippers,2005,82,37,45,0.451,669,231,0.345,54858,18942
Los Angeles Clippers,2006,82,47,35,0.573,843,290,0.344,69126,23780
Los Angeles Clippers,2007,82,40,42,0.488,903,314,0.348,74046,25748
Los Angeles Clippers,2008,82,23,59,0.28,1079,350,0.324,88478,28700
Los Angeles Clippers,2009,82,19,63,0.232,1513,535,0.354,124066,43870
Los Angeles Clippers,2010,82,29,53,0.354,1457,483,0.332,119474,39606
Los Angeles Clippers,2011,82,32,50,0.39,1519,513,0.338,124558,42066
Los Angeles Clippers,2012,66,40,26,0.606,1441,514,0.357,95106,33924
Los Angeles Clippers,2013,82,56,26,0.683,1752,627,0.358,143664,51414
Los Angeles Clippers,2014,82,57,25,0.695,1966,693,0.352,161212,56826
